row,id,product,section,serial,slug,canonical_path,title,primary_keyword,body_chars,body_sha256,old_baseline_verdict,new_verdict,preliminary_verdict,issue_codes,user_role,search_situation,real_question,quick_answer,natural_tone,actionable_next_step,batch,gemini_reason,gemini_evidence
1,ASTRO-BASE-01,astro,astro,astrology-0001,astrology-0001,/articles/astrology/astrology-0001,星盤是什麼？太陽、月亮、上升星座怎麼看,星盤是什麼,425,0dd0d03f88e71f5420800e8987239da864f340508a82548b8cc899efbeb89bd0,BASELINE_ONLY_NOT_EVIDENCE,HUMAN_LIGHT_EDIT,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,正在用 Pantheon 公開文章整理生活問題的一般讀者,搜尋「星盤是什麼」時，想快速找到和自己狀況相關的整理方式。,我現在卡住的是哪一層，讀完後下一步可以先確認什麼？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_001,文章已具備基本的生活情境與具體舉例，但結尾段落的免責聲明與下一步指引仍帶有 AI 說教的痕跡，需要人工微調語氣使其更像真人對話。,"[{""code"":""TEMPLATE_DISCLAIMER"",""evidence"":""「星盤不能單獨決定感情、工作、健康或人生方向，也不能取代實際溝通與專業判斷。」帶有明顯 AI 免責聲明的排比模板感。""},{""code"":""ABSTRACT_NEXT_STEP"",""evidence"":""「先選一個落點和一個正在發生的事件配對」語法稍微生硬，且對未具備占星基礎的讀者來說不夠具體與口語。""}]"
2,CHART-BASE-01,fortune,fortune,fortune-0001,fortune-0001,/articles/fortune/fortune-0001,命盤是什麼？八字、紫微斗數和星盤差在哪,命盤是什麼,423,c782e360bb0dd44e5f7aebbd37f8da2ff35ad4c1aede98a1e0194ea2b9a0a264,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY,想用命盤、八字或紫微整理人生課題的一般讀者,搜尋「命盤是什麼」時，想先搞懂單一概念可看什麼，不想被玄學術語淹沒。,這個命盤概念能提供哪個觀察角度，哪些仍要回到完整個人資料？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_001,文章的標題、段落結構與句型嚴重模板化，免責聲明過於空泛生硬，缺乏真人撰寫的自然流動感與同理心，建議整篇重寫以打破僵硬骨架。,"[{""code"":""REPETITIVE_SKELETON"",""evidence"":""文章結構（先分清...可以幫你...不能取代）與系列其他文章完全一致，骨架僵化。""},{""code"":""GENERIC_SAFETY"",""evidence"":""「命盤不能單獨判定婚姻、收入、健康或職涯結果，也不能取代醫療、法律、財務與專業建議。」過度依賴通用的安全免責聲明，未能針對命理系統給出更深入的見解。""}]"
3,THEME-CAREER-01,fortune,career,career-0001,career-0001,/articles/career/career-0001,事業運勢怎麼看？轉職、創業、工作卡住的整理方式,事業運勢,415,d90464f5af785b724c5a8566c9641e882aac8225f15ad81f714eb38f0ce77329,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY,想用命盤、八字或紫微整理人生課題的一般讀者,搜尋「事業運勢」時，想先搞懂單一概念可看什麼，不想被玄學術語淹沒。,這個命盤概念能提供哪個觀察角度，哪些仍要回到完整個人資料？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_001,通篇充斥標準的 AI 說教與重複的免責句型結構，將運勢文章寫得像生硬的職場教科書，需重寫以符合真實諮詢的自然引導語氣。,"[{""code"":""TEMPLATE_SKELETON"",""evidence"":""「事業運勢不能直接判定...也不能取代合約、勞動權益...」再次複製了與前文相同的免責排比句型。""},{""code"":""OVERLY_PREACHY"",""evidence"":""「運勢語言最多幫你命名節奏，不能替環境補上缺失的管理。」語氣過度抽離且帶有強烈的說教味，不像是一般尋求運勢引導的讀者期待的口吻。""}]"
4,THEME-LIFE-01,fortune,life,life-direction-0001,life-direction-0001,/articles/life-direction/life-direction-0001,人生方向迷惘怎麼辦？塔羅、人格與命盤能幫你整理什麼,人生方向,438,f8af887a7d5820f3ff2f8f65c9b77881198ffc11545f5727fb7c00758bfc4e08,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,想用命盤、八字或紫微整理人生課題的一般讀者,搜尋「人生方向」時，想先搞懂單一概念可看什麼，不想被玄學術語淹沒。,這個命盤概念能提供哪個觀察角度，哪些仍要回到完整個人資料？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_001,內容論述過於抽象，且結尾的行動建議偏向泛泛的自我成長指引，脫離了塔羅與命理工具本身的情境與實際用法，需大幅重寫以貼近真實讀者需求。,"[{""code"":""TEMPLATE_DISCLAIMER"",""evidence"":""「任何工具都不能替你決定離職...也不能承諾下一條路比較好。」再次延續了系列文固定的安全聲明寫作模板。""},{""code"":""DISCONNECTED_ADVICE"",""evidence"":""「選一個低成本試驗：訪談一個人、試做一個任務、整理一週時間...」給出的下一步過於偏向通用型的自我成長建議，與塔羅或命盤的實務結合度極低。""}]"
5,THEME-WEALTH-01,fortune,wealth,wealth-0001,wealth-0001,/articles/wealth/wealth-0001,財富運勢怎麼看？金錢焦慮、資源節奏與風險感,財富運勢,410,827847dc59927d2daa5030aa9ba57dd74a555f0cb395353236a4cf00c6e23b52,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,想用命盤、八字或紫微整理人生課題的一般讀者,搜尋「財富運勢」時，想先搞懂單一概念可看什麼，不想被玄學術語淹沒。,這個命盤概念能提供哪個觀察角度，哪些仍要回到完整個人資料？,YES,PENDING_GEMINI_REVIEW,先分清收入、支出、風險感與安全感，不把文章當成投資建議。,reviewer_batch_001,說教意味太濃，免責聲明過度堆疊，把財富運勢完全寫成了枯燥的財務規劃警告與風險免責，建議全面重寫以找回真人的同理心與閱讀溫度。,"[{""code"":""TEMPLATE_DISCLAIMER"",""evidence"":""「財富運勢不能承諾發財、避開損失...也不能取代合格的財務、稅務與法律建議。」如同機器人般的免責條款大串聯，完全失去真人口吻。""},{""code"":""PREACHY_TONE"",""evidence"":""「沒有這些資料，任何好聽的運勢都不夠負責。」語氣帶有高高在上的批判感，缺乏一般讀者在尋求財富焦慮解答時所需的陪伴感。""}]"
6,MBTI-BASE-01,personality,mbti,personality-0001,personality-0001,/articles/personality/personality-0001,MBTI 是什麼？16 型人格、測驗與自我理解怎麼看,MBTI 是什麼,1631,28f2d2147b457703619fee42224629dd3c2fc596eb2ad2eb3eefff626a51ffb0,BASELINE_ONLY_NOT_EVIDENCE,KEEP,KEEP,NONE,想用 MBTI 或人格分類理解自己與互動模式的一般讀者,搜尋「MBTI 是什麼」時，多半想快速對照自己或某段關係，而不是讀理論課。,這個人格概念能幫我看見哪種偏好，哪些地方不能當成固定標籤？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_002,文章具備豐富的具體情境（如會議協作、預算分配等），成功避免了空泛的理論說教，真人口吻強烈，且結尾提供了清晰且具體的可行下一步。,"[{""code"":""HUMAN_TONE"",""evidence"":""「例如在專案會議中，當主管突然交辦一項緊急任務時... 這些日常的反應能幫我們看清自己的溝通習慣，而非直接套用刻板標籤。」提供具體的職場互動情境，語氣自然且貼近現實。""},{""code"":""ACTIONABLE_NEXT_STEP"",""evidence"":""結尾段落明確指示：「建議你回想最近一次與同事意見分歧的過程，寫下雙方的對話內容，並思考彼此在收集資訊與做決策時存在哪些偏好差異。」具備高度可操作性。""}]"
7,THEME-INTERPERSONAL-01,personality,interpersonal,interpersonal-0001,interpersonal-0001,/articles/interpersonal/interpersonal-0001,人際關係卡住怎麼辦？人格、塔羅與命盤可以看什麼,人際關係,462,de04eda120d304e49aa236d4d6be8579f9220c0a33b4eed69475e308a48369a5,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,想用 MBTI 或人格分類理解自己與互動模式的一般讀者,搜尋「人際關係」時，多半想快速對照自己或某段關係，而不是讀理論課。,這個人格概念能幫我看見哪種偏好，哪些地方不能當成固定標籤？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_002,內文篇幅過短，缺乏具體的人際關係衝突場景。段落結構帶有明顯的機器生成模板感，尤其是結尾的免責聲明過於生硬，未能真正解決讀者的搜尋痛點。,"[{""code"":""EMPTY_PARAGRAPH"",""evidence"":""「人格適合整理互動偏好和壓力反應；塔羅可以協助你把當下卡點說出來；命盤或星盤則能提供長期自我理解的語言。」內容過度抽象，缺乏帶入感與實際案例支撐。""},{""code"":""TEMPLATE_SENTENCE"",""evidence"":""「任何人格、塔羅或命盤內容，都不能單獨判定一個人好不好或一段關係值不值得。若涉及威脅、暴力、騷擾或權力不對等，優先處理安全和尋求適當支援。」帶有強烈的罐頭免責模板感。""}]"
8,TAROT-BASE-01,tarot,tarot,tarot-0001,tarot-0001,/articles/tarot/tarot-0001,塔羅牌意思總覽：78 張牌、正位逆位與情境怎麼看,塔羅牌意思,411,3fbd957537789a0d4084384c0772328fb0a1d3debf760a76dc41d25955ca9431,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY,正在用塔羅整理感情、工作或選擇卡點的一般讀者,搜尋「塔羅牌意思」時，通常想先知道這張牌或問法能不能回答眼前問題。,這個塔羅線索現在能提醒我什麼，哪些結論不能只靠單篇文章決定？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_002,雖然文中提出了「替每張牌留一個生活動詞」等不錯的切入點，但整體內容過於骨感且抽象，缺乏實際示範如何解讀正逆位或特定牌義，需要重新擴充具體情境。,"[{""code"":""SHORT_BODY"",""evidence"":""整篇文章僅有簡短的三段，完全未能有效涵蓋標題所承諾的「78 張牌、正位逆位與情境怎麼看」等豐富資訊，存在搜尋意圖延遲的風險。""},{""code"":""REPETITIVE_SKELETON"",""evidence"":""結尾段落「如果讀完仍很焦慮，先停在一個可以核對的問題：已經發生什麼、還缺哪個資訊、下一次要問誰。」與其他文章的行動呼籲句型高度重複，顯露模板骨架。""}]"
9,THEME-LOVE-01,tarot,relation,love-0001,love-0001,/articles/love/love-0001,感情塔羅怎麼問？復合、曖昧、關係卡住怎麼看,感情塔羅,414,d980c8c7481ec1e88350e98010f249fe6d24d27dc6975abb215aa6717d074d7b,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,正在用塔羅整理感情、工作或選擇卡點的一般讀者,搜尋「感情塔羅」時，通常想先知道這張牌或問法能不能回答眼前問題。,這個塔羅線索現在能提醒我什麼，哪些結論不能只靠單篇文章決定？,YES,PENDING_GEMINI_REVIEW,先分清是在等回覆、怕失去、想復合，還是不確定要不要繼續。,reviewer_batch_002,文章流於空泛的指導原則，沒有提供任何一個具體的感情抽牌問題範例。整體寫作骨架與其他塔羅文章高度雷同，缺乏針對感情情境的細膩描寫。,"[{""code"":""OVERLY_ABSTRACT"",""evidence"":""「復合問題要看分開的原因是否被處理；曖昧問題要看回應、界線和現實安排；關係卡住則要先看誰在迴避哪個對話。」這段論述過於原則性，沒有實際的問題範例。""},{""code"":""REPETITIVE_SKELETON"",""evidence"":""結尾段落「如果抽牌後更焦慮，先暫停追問結果，改問一個你能處理的問題...」與 article-03 的收尾方式如出一轍，缺乏針對「感情塔羅」的專屬深度結論。""}]"
10,ASTRO-BASE-02,astro,astro,astrology-0002,astrology-0002,/articles/astrology/astrology-0002,上升星座是什麼？它和太陽星座差在哪,上升星座是什麼,425,0ae9b937f269a272102c1e94644e3cd613db609fd3cfb013c74a99f15b280449,BASELINE_ONLY_NOT_EVIDENCE,GEMINI_REWRITE,HUMAN_LIGHT_EDIT,SHORT_BODY|LOW_SCENARIO_DENSITY,正在用 Pantheon 公開文章整理生活問題的一般讀者,搜尋「上升星座是什麼」時，想快速找到和自己狀況相關的整理方式。,我現在卡住的是哪一層，讀完後下一步可以先確認什麼？,YES,PENDING_GEMINI_REVIEW,把問題改寫成一句具體情境，分清楚當下狀態、可觀察線索與不能代表的限制。,reviewer_batch_002,內容過短且缺乏深度，未能詳細解釋上升星座與太陽星座的具體差異與交互作用。整篇文章充滿了抽象的原則與免責模板，無法滿足讀者想具體對照自身的搜尋意圖。,"[{""code"":""EMPTY_PARAGRAPH"",""evidence"":""「上升星座可以提供你如何進入一個場域的語言，例如先防備、先打招呼、先掌握規則或先測量氣氛。」雖然點出了方向，但並未針對具體的上升星座（如上升牡羊或上升巨蟹）給出實例。""},{""code"":""TEMPLATE_SENTENCE"",""evidence"":""「上升星座不能直接判定你是否受歡迎、和誰最合或人生會不會順利。它也不能取代完整星盤和現實中的相處證據。」再次出現全站通用的免責聲明模板，缺乏文章專屬的觀點。""}]"
