id,product,slug,serial,title,source_file,body_source,char_count,verdict,priority,issue_codes,reason,gemini_batch
ASTRO-BASE-01,astro,astrology-0001,astrology-0001,星盤是什麼？太陽、月亮、上升星座怎麼看,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,695,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 695 字。 正文僅 695 字，低於基礎概念文建議長度。,
THEME-CAREER-01,fortune,career-0001,career-0001,事業運勢怎麼看？轉職、創業、工作卡住的整理方式,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,706,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 706 字。 正文僅 706 字，低於基礎概念文建議長度。,
CHART-BASE-01,fortune,fortune-0001,fortune-0001,命盤是什麼？八字、紫微斗數和星盤差在哪,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,704,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-meta.js::fallback-or-inline，正文 704 字。 正文僅 704 字，低於基礎概念文建議長度。,
THEME-LIFE-01,fortune,life-direction-0001,life-direction-0001,人生方向迷惘怎麼辦？塔羅、人格與命盤能幫你整理什麼,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,732,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 732 字。 正文僅 732 字，低於基礎概念文建議長度。,
THEME-WEALTH-01,fortune,wealth-0001,wealth-0001,財富運勢怎麼看？金錢焦慮、資源節奏與風險感,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,699,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 699 字。 正文僅 699 字，低於基礎概念文建議長度。,
THEME-INTERPERSONAL-01,personality,interpersonal-0001,interpersonal-0001,人際關係卡住怎麼辦？人格、塔羅與命盤可以看什麼,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,771,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 771 字。 正文僅 771 字，低於基礎概念文建議長度。,
MBTI-BASE-01,personality,personality-0001,personality-0001,MBTI 是什麼？16 型人格、測驗與自我理解怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,736,GEMINI_REWRITE,P0,SHORT_BODY|LOW_SCENARIO_DENSITY|SEARCH_INTENT_LAG,app/web/static/article-meta.js::fallback-or-inline，正文 736 字。 正文僅 736 字，低於基礎概念文建議長度。 具體情境/可觀察動詞密度偏低，偵測到 5 個具體訊號。 主關鍵字「MBTI 是什麼」未在正文前 130 字內自然回答。,P0-batch-01
THEME-LOVE-01,tarot,love-0001,love-0001,感情塔羅怎麼問？復合、曖昧、關係卡住怎麼看,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,726,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 726 字。 正文僅 726 字，低於基礎概念文建議長度。,
TAROT-BASE-01,tarot,tarot-0001,tarot-0001,塔羅牌意思總覽：78 張牌、正位逆位與情境怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,730,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-meta.js::fallback-or-inline，正文 730 字。 正文僅 730 字，低於基礎概念文建議長度。,
ASTRO-BASE-02,astro,astrology-0002,astrology-0002,上升星座是什麼？它和太陽星座差在哪,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,707,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 707 字。 正文僅 707 字，低於基礎概念文建議長度。,
THEME-CAREER-02,fortune,career-0002,career-0002,工作很努力卻沒被看見，問題可能在哪？,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,749,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 749 字。 正文僅 749 字，低於基礎概念文建議長度。,
CHART-BASE-02,fortune,fortune-0002,fortune-0002,八字是什麼？出生年月日時怎麼看人生節奏,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,685,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-meta.js::fallback-or-inline，正文 685 字。 正文僅 685 字，低於基礎概念文建議長度。,
THEME-LIFE-02,fortune,life-direction-0002,life-direction-0002,該動還是該等？時機問題先看三個條件,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,697,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 697 字。 正文僅 697 字，低於基礎概念文建議長度。,
THEME-WEALTH-02,fortune,wealth-0002,wealth-0002,金錢焦慮從哪裡來？先分清收入、支出與安全感,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,725,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 725 字。 正文僅 725 字，低於基礎概念文建議長度。,
THEME-INTERPERSONAL-02,personality,interpersonal-0002,interpersonal-0002,朋友關係變淡，是自然變化還是需要處理？,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,752,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 752 字。 正文僅 752 字，低於基礎概念文建議長度。,
MBTI-BASE-02,personality,personality-0002,personality-0002,16 型人格完整整理：特質、感情、工作與人際怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,738,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-meta.js::fallback-or-inline，正文 738 字。 正文僅 738 字，低於基礎概念文建議長度。,
THEME-LOVE-02,tarot,love-0002,love-0002,曖昧很久沒有進展，該繼續還是停下？,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,757,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 757 字。 正文僅 757 字，低於基礎概念文建議長度。,
TAROT-BASE-02,tarot,tarot-0002,tarot-0002,塔羅牌正位逆位是什麼？好壞、阻塞與提醒怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,730,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-meta.js::fallback-or-inline，正文 730 字。 正文僅 730 字，低於基礎概念文建議長度。,
ASTRO-BASE-03,astro,astrology-0003,astrology-0003,月亮星座是什麼？情緒與安全感怎麼看,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,704,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 704 字。 正文僅 704 字，低於基礎概念文建議長度。,
THEME-CAREER-03,fortune,career-0003,career-0003,現在適合轉職嗎？先分清逃離、成長與方向,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,690,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 690 字。 正文僅 690 字，低於基礎概念文建議長度。,
CHART-ZIWEI-01,fortune,fortune-0003,fortune-0003,紫微斗數是什麼？命盤十二宮和主星怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,717,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-meta.js::fallback-or-inline，正文 717 字。 正文僅 717 字，低於基礎概念文建議長度。,
THEME-LIFE-03,fortune,life-direction-0003,life-direction-0003,塔羅怎麼整理人生方向？先把大問題切成下一步,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1127,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1127 字。 「人生方向塔羅」正文小標高度模板化，實際小標包含「人生方向塔羅真正要整理的是什麼？」、「人生方向塔羅有哪些可觀察線索？」、「把人生方向塔羅變成下一步」、「人生方向塔羅不能代表什麼？」。 「人生方向塔羅」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-01
THEME-WEALTH-03,fortune,wealth-0003,wealth-0003,存不住錢怎麼辦？先看花錢模式與安全感,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,694,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 694 字。 正文僅 694 字，低於基礎概念文建議長度。,
THEME-INTERPERSONAL-03,personality,interpersonal-0003,interpersonal-0003,為什麼社交後很累？先分清刺激量、角色壓力與界線,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1127,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1127 字。 「社交後很累」正文小標高度模板化，實際小標包含「社交後很累真正要整理的是什麼？」、「社交後很累有哪些可觀察線索？」、「把社交後很累變成下一步」、「社交後很累不能代表什麼？」。 「社交後很累」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-01
MBTI-BASE-03,personality,personality-0003,personality-0003,MBTI 測驗前先知道：能看什麼、不能代表什麼,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,762,LIGHT_EDIT,P2,SHORT_BODY|LOW_SCENARIO_DENSITY,app/web/static/article-meta.js::fallback-or-inline，正文 762 字。 正文僅 762 字，低於基礎概念文建議長度。 具體情境/可觀察動詞密度偏低，偵測到 3 個具體訊號。,
THEME-LOVE-03,tarot,love-0003,love-0003,復合前要想清楚什麼？先看三個關係問題,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,757,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 757 字。 正文僅 757 字，低於基礎概念文建議長度。,
TAROT-M00,tarot,tarot-0003,tarot-0003,愚者牌意思：正位、逆位、感情與工作情境怎麼看,app/web/static/article-registry.js,app/web/static/article-card-face-50.js,1287,LIGHT_EDIT,P2,SEARCH_INTENT_LAG,app/web/static/article-card-face-50.js，正文 1287 字。 主關鍵字「愚者牌意思」未在正文前 130 字內自然回答。,
ASTRO-LOVE-01,astro,astrology-0004,astrology-0004,星座感情運勢怎麼看？先分清太陽、月亮與上升,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,712,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 712 字。 正文僅 712 字，低於基礎概念文建議長度。,
THEME-CAREER-04,fortune,career-0004,career-0004,創業前要想清楚什麼？先看資源、風險與動機,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,710,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 710 字。 正文僅 710 字，低於基礎概念文建議長度。,
CHART-ZIWEI-02,fortune,fortune-0004,fortune-0004,命宮是什麼？它在紫微斗數裡代表什麼,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,687,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-meta.js::fallback-or-inline，正文 687 字。 正文僅 687 字，低於基礎概念文建議長度。,
THEME-LIFE-04,fortune,life-direction-0004,life-direction-0004,人格結果怎麼看長期選擇？理解偏好，不把選項鎖死,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1130,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1130 字。 「人格選擇偏好」正文小標高度模板化，實際小標包含「人格選擇偏好真正要整理的是什麼？」、「人格選擇偏好有哪些可觀察線索？」、「把人格選擇偏好變成下一步」、「人格選擇偏好不能代表什麼？」。 「人格選擇偏好」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-01
THEME-WEALTH-04,fortune,wealth-0004,wealth-0004,命盤怎麼看資源節奏？把收入、支出與承擔分開,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1100,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1100 字。 「命盤資源節奏」正文小標高度模板化，實際小標包含「命盤資源節奏真正要整理的是什麼？」、「命盤資源節奏有哪些可觀察線索？」、「把命盤資源節奏變成下一步」、「命盤資源節奏不能代表什麼？」。 「命盤資源節奏」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-01
THEME-INTERPERSONAL-04,personality,interpersonal-0004,interpersonal-0004,職場人際和私人關係怎麼劃界線？先看角色與責任,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1135,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1135 字。 「職場私人界線」正文小標高度模板化，實際小標包含「職場私人界線真正要整理的是什麼？」、「職場私人界線有哪些可觀察線索？」、「把職場私人界線變成下一步」、「職場私人界線不能代表什麼？」。 「職場私人界線」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-02
MBTI-BASE-04,personality,personality-0004,personality-0004,MBTI 準嗎？準確度、限制與自我理解怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,778,LIGHT_EDIT,P2,SHORT_BODY|LOW_SCENARIO_DENSITY,app/web/static/article-meta.js::fallback-or-inline，正文 778 字。 正文僅 778 字，低於基礎概念文建議長度。 具體情境/可觀察動詞密度偏低，偵測到 6 個具體訊號。,
THEME-LOVE-04,tarot,love-0004,love-0004,感情不安全感從哪裡來？先分清對方和自己,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,739,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 739 字。 正文僅 739 字，低於基礎概念文建議長度。,
TAROT-M01,tarot,tarot-0004,tarot-0004,魔術師牌意思：正位、逆位、感情與事業情境怎麼看,app/web/static/article-registry.js,app/web/static/article-card-face-50.js,1336,LIGHT_EDIT,P2,SEARCH_INTENT_LAG,app/web/static/article-card-face-50.js，正文 1336 字。 主關鍵字「魔術師牌意思」未在正文前 130 字內自然回答。,
ASTRO-VENUS-01,astro,astrology-0005,astrology-0005,金星星座是什麼？感情需求與喜歡方式怎麼看,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,1029,KEEP,P3,,app/web/static/article-bodies-second-batch.js，正文 1029 字。 ,
THEME-CAREER-05,fortune,career-0005,career-0005,工作卡住時，塔羅適合幫你整理什麼？,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1131,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1131 字。 「工作卡住塔羅」正文小標高度模板化，實際小標包含「工作卡住塔羅真正要整理的是什麼？」、「工作卡住塔羅有哪些可觀察線索？」、「把工作卡住塔羅變成下一步」、「工作卡住塔羅不能代表什麼？」。 「工作卡住塔羅」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-02
CHART-ZIWEI-03,fortune,fortune-0005,fortune-0005,夫妻宮是什麼？感情關係可以怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,688,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-meta.js::fallback-or-inline，正文 688 字。 正文僅 688 字，低於基礎概念文建議長度。,
THEME-LIFE-05,fortune,life-direction-0005,life-direction-0005,命盤怎麼看人生階段？用週期回顧，不把時間寫成事件,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1123,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1123 字。 「命盤人生階段」正文小標高度模板化，實際小標包含「命盤人生階段真正要整理的是什麼？」、「命盤人生階段有哪些可觀察線索？」、「把命盤人生階段變成下一步」、「命盤人生階段不能代表什麼？」。 「命盤人生階段」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-02
THEME-WEALTH-05,fortune,wealth-0005,wealth-0005,創業談財富，不能只問會不會賺錢,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1123,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1123 字。 「創業財務問題」正文小標高度模板化，實際小標包含「創業財務問題真正要整理的是什麼？」、「創業財務問題有哪些可觀察線索？」、「把創業財務問題變成下一步」、「創業財務問題不能代表什麼？」。 「創業財務問題」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-02
THEME-INTERPERSONAL-05,personality,interpersonal-0005,interpersonal-0005,渴望被看見怎麼影響人際？觀察你用什麼交換認可,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1118,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1118 字。 「渴望被看見」正文小標高度模板化，實際小標包含「渴望被看見真正要整理的是什麼？」、「渴望被看見有哪些可觀察線索？」、「把渴望被看見變成下一步」、「渴望被看見不能代表什麼？」。 「渴望被看見」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-02
MBTI-TYPE-INTJ,personality,personality-0005,personality-0005,INTJ 是什麼？感情、事業、人際與長期規劃怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,778,LIGHT_EDIT,P2,SHORT_BODY|LOW_SCENARIO_DENSITY,app/web/static/article-meta.js::fallback-or-inline，正文 778 字。 正文僅 778 字，低於基礎概念文建議長度。 具體情境/可觀察動詞密度偏低，偵測到 5 個具體訊號。,
THEME-LOVE-05,tarot,love-0005,love-0005,一段關係卡住怎麼辦？先看互動循環，不急著猜結果,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1078,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1078 字。 「關係卡住」正文小標高度模板化，實際小標包含「關係卡住真正要整理的是什麼？」、「關係卡住有哪些可觀察線索？」、「把關係卡住變成下一步」、「關係卡住不能代表什麼？」。 「關係卡住」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-03
TAROT-M06,tarot,tarot-0005,tarot-0005,戀人牌意思：正位、逆位、感情與選擇怎麼看,app/web/static/article-registry.js,app/web/static/article-card-face-50.js,1318,LIGHT_EDIT,P2,SEARCH_INTENT_LAG,app/web/static/article-card-face-50.js，正文 1318 字。 主關鍵字「戀人牌意思」未在正文前 130 字內自然回答。,
ASTRO-MERCURY-01,astro,astrology-0006,astrology-0006,水星星座是什麼？溝通、思考與學習方式怎麼看,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1068,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1068 字。 「水星星座」正文小標高度模板化，實際小標包含「水星星座真正要整理的是什麼？」、「水星星座有哪些可觀察線索？」、「把水星星座變成下一步」、「水星星座不能代表什麼？」。 「水星星座」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-03
THEME-CAREER-06,fortune,career-0006,career-0006,工作要選穩定、成長還是自由？先比較你真正交換了什麼,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1187,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1187 字。 「工作穩定成長自由」正文小標高度模板化，實際小標包含「工作穩定成長自由真正要整理的是什麼？」、「工作穩定成長自由有哪些可觀察線索？」、「把工作穩定成長自由變成下一步」、「工作穩定成長自由不能代表什麼？」。 「工作穩定成長自由」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-03
CHART-ZIWEI-04,fortune,fortune-0006,fortune-0006,財帛宮是什麼？財富和資源節奏可以怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,683,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-meta.js::fallback-or-inline，正文 683 字。 正文僅 683 字，低於基礎概念文建議長度。,
THEME-LIFE-06,fortune,life-direction-0006,life-direction-0006,創業、轉職、搬家怎麼整理？重大變動先看可逆性,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1130,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1130 字。 「人生重大變動」正文小標高度模板化，實際小標包含「人生重大變動真正要整理的是什麼？」、「人生重大變動有哪些可觀察線索？」、「把人生重大變動變成下一步」、「人生重大變動不能代表什麼？」。 「人生重大變動」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-03
THEME-WEALTH-06,fortune,wealth-0006,wealth-0006,為什麼努力工作仍沒有安全感？收入不是唯一變數,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1142,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1142 字。 「收入與安全感」正文小標高度模板化，實際小標包含「收入與安全感真正要整理的是什麼？」、「收入與安全感有哪些可觀察線索？」、「把收入與安全感變成下一步」、「收入與安全感不能代表什麼？」。 「收入與安全感」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-03
THEME-INTERPERSONAL-06,personality,interpersonal-0006,interpersonal-0006,塔羅怎麼整理人際界線？把注意力放回自己的位置,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1144,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1144 字。 「人際界線塔羅」正文小標高度模板化，實際小標包含「人際界線塔羅真正要整理的是什麼？」、「人際界線塔羅有哪些可觀察線索？」、「把人際界線塔羅變成下一步」、「人際界線塔羅不能代表什麼？」。 「人際界線塔羅」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-04
MBTI-TYPE-INFP,personality,personality-0006,personality-0006,INFP 是什麼？感情、事業、人際與內在價值怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,767,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-meta.js::fallback-or-inline，正文 767 字。 正文僅 767 字，低於基礎概念文建議長度。,
THEME-LOVE-06,tarot,love-0006,love-0006,為什麼總遇到同一種感情模式？從選擇與界線找線索,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1137,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1137 字。 「重複感情模式」正文小標高度模板化，實際小標包含「重複感情模式真正要整理的是什麼？」、「重複感情模式有哪些可觀察線索？」、「把重複感情模式變成下一步」、「重複感情模式不能代表什麼？」。 「重複感情模式」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-04
TAROT-M13,tarot,tarot-0006,tarot-0006,死神牌意思：正位、逆位、結束與轉變怎麼看,app/web/static/article-registry.js,app/web/static/article-card-face-50.js,1279,LIGHT_EDIT,P2,SEARCH_INTENT_LAG,app/web/static/article-card-face-50.js，正文 1279 字。 主關鍵字「死神牌意思」未在正文前 130 字內自然回答。,
ASTRO-MARS-01,astro,astrology-0007,astrology-0007,火星星座是什麼？行動、衝突與慾望怎麼看,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1064,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1064 字。 「火星星座」正文小標高度模板化，實際小標包含「火星星座真正要整理的是什麼？」、「火星星座有哪些可觀察線索？」、「把火星星座變成下一步」、「火星星座不能代表什麼？」。 「火星星座」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-04
THEME-CAREER-07,fortune,career-0007,career-0007,人格特質怎麼影響工作方式？看偏好，不拿類型選職業,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1126,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1126 字。 「人格工作方式」正文小標高度模板化，實際小標包含「人格工作方式真正要整理的是什麼？」、「人格工作方式有哪些可觀察線索？」、「把人格工作方式變成下一步」、「人格工作方式不能代表什麼？」。 「人格工作方式」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-04
CHART-ZIWEI-05,fortune,fortune-0007,fortune-0007,福德宮是什麼？情緒安全感與內在狀態怎麼看,app/web/static/article-registry.js,app/web/static/article-bodies-second-batch.js,634,LIGHT_EDIT,P2,SHORT_BODY,app/web/static/article-bodies-second-batch.js，正文 634 字。 正文僅 634 字，低於基礎概念文建議長度。,
THEME-LIFE-07,fortune,life-direction-0007,life-direction-0007,迷惘時怎麼分辨害怕和真的不適合？,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1177,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1177 字。 「害怕還是不適合」正文小標高度模板化，實際小標包含「害怕還是不適合真正要整理的是什麼？」、「害怕還是不適合有哪些可觀察線索？」、「把害怕還是不適合變成下一步」、「害怕還是不適合不能代表什麼？」。 「害怕還是不適合」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-04
THEME-WEALTH-07,fortune,wealth-0007,wealth-0007,年度財富報告適合看什麼？先看資源配置，不猜明牌,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1118,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1118 字。 「年度財富報告」正文小標高度模板化，實際小標包含「年度財富報告真正要整理的是什麼？」、「年度財富報告有哪些可觀察線索？」、「把年度財富報告變成下一步」、「年度財富報告不能代表什麼？」。 「年度財富報告」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-05
THEME-INTERPERSONAL-07,personality,interpersonal-0007,interpersonal-0007,人格結果怎麼看溝通習慣？從偏好找可調整的落差,app/web/static/article-registry.js,app/web/static/article-expansion-50.js,1146,GEMINI_REWRITE,P0,TEMPLATE_STRUCTURE|REPEATED_BATCH_COPY,app/web/static/article-expansion-50.js，正文 1146 字。 「人格溝通習慣」正文小標高度模板化，實際小標包含「人格溝通習慣真正要整理的是什麼？」、「人格溝通習慣有哪些可觀察線索？」、「把人格溝通習慣變成下一步」、「人格溝通習慣不能代表什麼？」。 「人格溝通習慣」使用「核心不是找一句立刻生效的答案」或「公開文章能提供整理框架」這類批次完整句型。,P0-batch-05
MBTI-TYPE-INFJ,personality,personality-0007,personality-0007,INFJ 是什麼？關係、理想、人際與人生方向怎麼看,app/web/static/article-registry.js,app/web/static/article-meta.js::fallback-or-inline,738,LIGHT_EDIT,P2,SHORT_BODY|LOW_SCENARIO_DENSITY,app/web/static/article-meta.js::fallback-or-inline，正文 738 字。 正文僅 738 字，低於基礎概念文建議長度。 具體情境/可觀察動詞密度偏低，偵測到 5 個具體訊號。,
